VBELN,WAERS,VKORG,KUNNR,CTLPC,LFART,AMTBL
500005275,USD,1001,100118,R01,ZLF,0
500005276,USD,1001,100118,R01,ZLF,0
500005277,USD,1002,2902,R99,ZLF,0
500005278,USD,1002,2902,R99,ZLF,0
500005279,USD,2002,100207,R01,ZLF,0
500005280,USD,1002,2902,R99,ZLF,0
500005281,USD,1002,2902,R99,ZLF,0
500005282,USD,2002,100207,R01,ZLF,0
500005283,USD,2002,100213,R01,ZLF,0
500005284,TWD,1007,1002,,ZNL,0
500005285,USD,2002,100207,R01,ZLF,0
500005286,USD,1001,100033,R01,ZLF,0
500005287,TWD,1005,100008,R01,ZLF,0
500005288,TWD,1005,100014,R01,ZLF,0
500005289,USD,1001,100118,R01,ZLF,0
500005290,TWD,1002,1006,,ZNL,0
500005291,USD,1003,100179,R01,ZLF,0
500005292,USD,2002,100207,R01,ZLF,0
500005293,USD,1002,2902,R99,ZLF,0
500005294,USD,2002,100207,R01,ZLF,0
500005295,TWD,1005,100011,R01,ZLF,"20,643"
500005296,TWD,1011,1002,,ZNL,0
500005297,USD,2002,1002,,ZNLC,0
500005298,USD,2002,1002,,ZNLC,0
500005299,TWD,1002,1006,,ZNL,0
500005300,TWD,1005,100018,R01,ZLF,0
500005301,TWD,1005,100018,R01,ZLF,0
500005302,TWD,1005,100382,R01,ZLF,"77,396"
500005303,TWD,1005,100024,R01,ZLF,0
500005304,USD,1002,100195,R01,ZLF,0
500005305,USD,1002,100195,R01,ZLF,0
500005306,USD,1001,100118,R01,ZLF,0
500005307,USD,1001,100118,R01,ZLF,0
500005308,USD,1001,100118,R01,ZLF,0
500005309,USD,1001,100118,R01,ZLF,0
500005310,USD,1001,100118,R01,ZLF,0
500005311,USD,1001,100118,R01,ZLF,0
500005312,USD,1001,100118,R01,ZLF,0
500005313,USD,1005,100022,R01,ZLF,0
500005314,USD,1001,100118,R01,ZLF,0
500005315,USD,1001,100118,R01,ZLF,0
500005316,USD,1001,100118,R01,ZLF,0
500005317,USD,1001,100118,R01,ZLF,0
500005318,USD,1001,100118,R01,ZLF,0
500005319,USD,1001,100118,R01,ZLF,0
500005320,USD,1001,100118,R01,ZLF,0
500005321,USD,1001,100118,R01,ZLF,0
500005322,USD,1001,100118,R01,ZLF,0
500005323,USD,1001,100118,R01,ZLF,0
500005324,USD,1001,100118,R01,ZLF,0
500005325,USD,1001,100118,R01,ZLF,0
500005326,USD,1001,100118,R01,ZLF,0
500005327,USD,1001,100118,R01,ZLF,0
500005328,USD,1001,100118,R01,ZLF,0
500005329,USD,1001,100118,R01,ZLF,0
500005330,USD,1001,100118,R01,ZLF,0
500005331,USD,1001,100118,R01,ZLF,0
500005332,USD,1001,100118,R01,ZLF,0
500005333,USD,1001,100118,R01,ZLF,0
500005334,USD,1001,100118,R01,ZLF,0
500005335,USD,1001,100118,R01,ZLF,0
500005336,USD,1004,100273,R01,ZLF,"287,067"
500005337,USD,1004,100273,R01,ZLF,"85,748"
500005338,USD,1001,100119,R01,ZLF,0
500005339,USD,1002,2002,,ZNLC,0
500005340,USD,1001,100118,R01,ZLF,0
500005341,TWD,1006,1002,,ZNL,0
500005342,TWD,1006,1002,,ZNL,0
500005343,USD,1001,100118,R01,ZLF,0
500005344,USD,1001,100118,R01,ZLF,0
500005345,TWD,1005,100012,R01,ZLF,"120,810"
500005346,TWD,1004,1006,,ZNL,0
500005347,USD,1004,100390,R01,ZLF,0
500005348,TWD,1001,100137,R01,ZLF,0
500005349,TWD,1001,100133,R01,ZLF,"263,829"
500005350,TWD,1001,100124,R01,ZLF,0
500005351,USD,2002,100207,R01,ZLF,0
500005352,TWD,1001,100125,R01,ZLF,0
500005353,TWD,1001,100128,R01,ZLF,0
500005354,TWD,1001,100123,R01,ZLF,"6,248"
500005355,TWD,1001,100135,R01,ZLF,0
500005356,USD,1001,100029,R01,ZLF,0
500005357,USD,1003,100178,R01,ZLF,0
500005358,USD,1003,100366,R01,ZLF,0
500005359,TWD,1003,100188,R01,ZLF,0
500005360,USD,1007,100036,R01,ZLF,0
500005361,USD,1007,100036,R01,ZLF,0
500005362,USD,2002,100213,R01,ZLF,0
500005363,USD,2002,100213,R01,ZLF,0
500005364,USD,1002,2902,R99,ZLF,0
500005365,USD,2002,100207,R01,ZLF,0
500005366,USD,1003,100180,R01,ZLF,"325,270"
500005367,USD,2002,100207,R01,ZLF,0
500005368,USD,2002,100207,R01,ZLF,0
500005369,USD,2002,100207,R01,ZLF,0
500005370,USD,2002,100207,R01,ZLF,0
500005371,USD,2002,100207,R01,ZLF,0
500005372,USD,2002,100207,R01,ZLF,0
500005373,USD,2002,100213,R01,ZLF,0
500005374,USD,2002,100213,R01,ZLF,0
500005375,USD,2002,1002,,ZNLC,0
500005376,TWD,1007,100052,R01,ZLF,0
500005377,USD,2002,100208,R01,ZLF,0
500005378,USD,1001,100171,R01,ZLF,0
500005379,USD,1001,100170,R01,ZLF,0
500005380,USD,1001,100172,R01,ZLF,0
500005381,USD,1001,100352,R01,ZLF,0
500005382,USD,1001,100405,R01,ZLF,0
500005383,USD,2002,100213,R01,ZLF,0
500005384,USD,2002,100213,R01,ZLF,0
500005385,USD,1002,2002,,ZNLC,0
500005386,TWD,1005,100379,R01,ZLF,0
500005387,TWD,1005,100371,R01,ZLF,0
500005388,USD,1002,2002,,ZNLC,0
500005389,USD,2002,1002,,ZNLC,0
500005390,USD,2002,1002,,ZNLC,0
500005391,USD,2002,1002,,ZNLC,0
500005392,USD,2002,1002,,ZNLC,0
500005393,USD,1001,100118,R01,ZLF,0
500005394,USD,1001,100118,R01,ZLF,0
500005395,USD,1001,100118,R01,ZLF,0
500005396,USD,1001,100118,R01,ZLF,0
500005397,USD,1001,100118,R01,ZLF,0
500005398,USD,1001,100118,R01,ZLF,0
500005399,USD,1001,100118,R01,ZLF,0
500005400,USD,1001,100118,R01,ZLF,0
500005401,USD,1001,100118,R01,ZLF,0
500005402,USD,1001,100118,R01,ZLF,0
500005403,USD,1001,100118,R01,ZLF,0
500005404,USD,1001,100118,R01,ZLF,0
500005405,USD,1001,100118,R01,ZLF,0
500005406,USD,1001,100118,R01,ZLF,0
500005407,USD,1001,100118,R01,ZLF,0
500005408,USD,1001,100118,R01,ZLF,0
500005409,TWD,1002,1006,,ZNL,0
500005410,USD,1001,100118,R01,ZLF,0
500005411,USD,1001,100118,R01,ZLF,0
500005412,USD,1005,100022,R01,ZLF,"2,391,180"
500005413,USD,1001,100118,R01,ZLF,0
500005414,USD,1001,100118,R01,ZLF,0
500005415,USD,1001,100118,R01,ZLF,0
500005416,USD,1001,100118,R01,ZLF,0
500005417,TWD,1006,1002,,ZNL,0
500005418,TWD,1006,1002,,ZNL,0
500005419,USD,1004,100305,R01,ZLF,"240,915"
500005420,USD,1001,100118,R01,ZLF,0
500005421,USD,1001,100118,R01,ZLF,0
500005422,USD,2002,1002,,ZNLC,0
500005423,USD,2002,1002,,ZNLC,0
500005424,USD,2002,1902,R99,ZLF,0
500005425,USD,1001,100118,R01,ZLF,0
500005426,USD,1002,2902,R99,ZLF,0
500005427,USD,1001,100118,R01,ZLF,0
500005428,USD,2002,100207,R01,ZLF,0
500005429,USD,2002,100207,R01,ZLF,0
500005430,USD,1002,100197,R01,ZLF,0
500005431,USD,1002,2002,,ZNLC,0
500005432,USD,1003,100179,R01,ZLF,0
500005433,USD,1004,100290,R01,ZLF,0
500005435,USD,1001,100118,R01,ZLF,0
500005436,USD,1005,100367,R01,ZLF,"317,870"
500005437,USD,1005,100022,R01,ZLF,"265,272"
500005438,USD,1004,100255,R01,ZLF,0
500005439,USD,1004,100255,R01,ZLF,0
500005440,USD,1002,2002,,ZNLC,0
500005441,USD,1002,2002,,ZNLC,0
500005442,TWD,1011,100347,R01,ZLF,"525,000"
500005443,TWD,1011,100347,R01,ZLF,0
500005444,TWD,1002,1006,,ZNL,0
500005445,USD,1003,100366,R01,ZLF,0
500005446,USD,1003,100178,R01,ZLF,0
500005447,TWD,1005,100012,R01,ZLF,"47,933"
500005448,TWD,1005,100379,R01,ZLF,0
500005449,TWD,1005,100018,R01,ZLF,"122,483"
500005450,TWD,1005,100004,R01,ZLF,0
500005451,TWD,1005,100371,R01,ZLF,0
500005452,TWD,1005,100008,R01,ZLF,0
500005453,TWD,1005,100379,R01,ZLF,0
500005454,TWD,1005,100014,R01,ZLF,0
500005455,TWD,1005,100004,R01,ZLF,0
500005456,TWD,1005,100018,R01,ZLF,0
500005457,TWD,1005,100011,R01,ZLF,0
500005458,TWD,1001,100127,R01,ZLF,0
500005459,TWD,1005,100379,R01,ZLF,0
500005460,USD,1001,100118,R01,ZLF,0
500005461,USD,1001,100118,R01,ZLF,0
500005462,USD,1001,100118,R01,ZLF,0
500005463,USD,2002,100207,R01,ZLF,0
500005464,TWD,1004,1006,,ZNL,0
500005465,TWD,1005,100018,R01,ZLF,"192,371"
500005466,TWD,1005,100018,R01,ZLF,"7,350"
500005467,USD,1002,2002,,ZNLC,0
500005468,USD,2002,100213,R01,ZLF,0
500005469,USD,1003,100178,R01,ZLF,0
500005470,TWD,1005,100382,R01,ZLF,"46,599"
500005471,TWD,1011,1002,,ZNL,0
500005472,USD,1002,2002,,ZNLC,0
500005473,USD,1002,100201,R01,ZLF,0
500005474,USD,1002,100200,R01,ZLF,0
500005476,USD,2002,100213,R01,ZLF,0
500005477,USD,1003,100180,R01,ZLF,"183,938"
500005478,USD,1001,100118,R01,ZLF,0
500005479,TWD,1003,100187,R01,ZLF,0
500005480,USD,2002,100207,R01,ZLF,0
500005481,USD,2002,100207,R01,ZLF,0
500005482,USD,1003,100182,R01,ZLF,"1,201,240"
500005483,USD,2002,100213,R01,ZLF,0
500005484,USD,1001,100118,R01,ZLF,0
500005485,USD,2002,100213,R01,ZLF,0
500005486,USD,1001,100118,R01,ZLF,0
500005487,USD,1001,100118,R01,ZLF,0
500005488,USD,1001,100118,R01,ZLF,0
500005489,USD,1001,100118,R01,ZLF,0
500005490,USD,1001,100118,R01,ZLF,0
500005491,USD,1003,100182,R01,ZLF,"626,033"
500005492,USD,1005,100020,R01,ZLF,0
500005493,USD,1004,100289,R01,ZLF,"159,695"
500005494,USD,1002,2002,,ZNLC,0
500005495,USD,2002,1002,,ZNLC,0
500005496,USD,1004,100370,R01,ZLF,0
500005497,TWD,1007,100116,R01,ZLF,0
500005498,TWD,1007,100097,R01,ZLF,0
500005499,TWD,1007,100105,R01,ZLF,0
500005500,TWD,1007,100062,R01,ZLF,0
500005501,USD,1005,100022,R01,ZLF,0
500005502,TWD,1006,1002,,ZNL,0
500005503,TWD,1006,1002,,ZNL,0
500005504,TWD,1007,100062,R01,ZLF,550
500005505,TWD,1007,100105,R01,ZLF,0
500005506,TWD,1007,100105,R01,ZLF,0
500005507,TWD,1002,1006,,ZNL,0
500005508,TWD,1002,1006,,ZNL,0
500005509,USD,1001,100118,R01,ZLF,0
500005510,TWD,1007,100042,R01,ZLF,0
500005511,TWD,1007,100052,R01,ZLF,0
500005512,TWD,1007,100052,R01,ZLF,0
500005513,TWD,1007,100052,R01,ZLF,0
500005514,TWD,1007,100105,R01,ZLF,0
500005515,TWD,1007,100052,R01,ZLF,0
500005516,USD,1002,100201,R01,ZLF,0
500005517,USD,1002,2902,R99,ZLF,0
500005518,USD,2002,100207,R01,ZLF,0
500005519,TWD,1005,100012,R01,ZLF,"137,424"
500005520,TWD,1005,100379,R01,ZLF,0
500005521,TWD,1005,100004,R01,ZLF,0
500005522,TWD,1005,100008,R01,ZLF,"60,722"
500005523,TWD,1005,100018,R01,ZLF,"86,279"
500005524,TWD,1005,100371,R01,ZLF,0
500005525,USD,1002,2902,R99,ZLF,0
500005526,USD,2002,100207,R01,ZLF,0
500005527,USD,2002,1002,,ZNLC,0
500005528,USD,1005,100022,R01,ZLF,"747,621"
500005529,USD,1002,2902,R99,ZLF,0
500005530,USD,2002,100207,R01,ZLF,0
500005531,USD,1002,100201,R01,ZLF,0
500005532,USD,1003,100179,R01,ZLF,0
500005533,TWD,1007,100402,R01,ZLF,"13,200"
500005534,TWD,1007,100055,R01,ZLF,0
500005535,TWD,1007,100105,R01,ZLF,0
500005536,USD,1005,100364,R01,ZLF,"29,353"
500005537,USD,2002,100207,R01,ZLF,0
500005538,TWD,1006,1004,,ZNL,0
500005539,USD,2002,1002,,ZNLC,0
500005540,TWD,1007,100105,R01,ZLF,0
500005541,TWD,1006,1002,,ZNL,0
500005542,TWD,1011,100340,R01,ZLF,"42,000"
500005543,TWD,1005,100012,R01,ZLF,"93,999"
500005544,TWD,1005,100004,R01,ZLF,"31,074"
500005545,TWD,1005,100011,R01,ZLF,0
500005546,TWD,1005,100003,R01,ZLF,0
500005547,TWD,1011,100340,R01,ZLF,"39,984"
500005548,TWD,1005,100379,R01,ZLF,0
500005549,TWD,1005,100015,R01,ZLF,"71,967"
500005550,TWD,1011,1002,,ZNL,0
500005551,USD,2002,100213,R01,ZLF,0
500005552,TWD,1002,1006,,ZNL,0
500005553,TWD,1004,100412,R01,ZLF,0
500005554,USD,1001,100033,R01,ZLF,0
500005555,USD,2002,100207,R01,ZLF,0
500005556,USD,1001,100118,R01,ZLF,0
500005557,USD,1001,100118,R01,ZLF,0
500005558,USD,1005,100022,R01,ZLF,"636,689"
500005559,USD,1004,100223,R01,ZLF,0
500005560,USD,2002,100213,R01,ZLF,0
500005561,USD,1004,100279,R01,ZLF,0
500005562,TWD,1004,Z009,R01,ZLF,0
500005563,USD,2002,1002,,ZNLC,0
500005564,USD,1001,100118,R01,ZLF,0
500005565,USD,1003,100179,R01,ZLF,0
500005566,USD,1003,100179,R01,ZLF,0
500005567,USD,1003,100178,R01,ZLF,0
500005568,USD,1003,100366,R01,ZLF,0
500005569,TWD,1006,1004,,ZNL,0
500005570,USD,1002,2902,R99,ZLF,0
500005571,USD,2002,100207,R01,ZLF,0
500005572,TWD,1002,1006,,ZNL,0
500005573,TWD,1002,1006,,ZNL,0
500005574,USD,1005,100021,R01,ZLF,0
500005575,USD,2002,1902,R99,ZLF,0
500005576,USD,2002,100208,R01,ZLF,0
500005577,USD,1001,100118,R01,ZLF,0
500005578,TWD,1006,1002,,ZNL,0
500005579,TWD,1006,1002,,ZNL,0
500005580,TWD,1006,1002,,ZNL,0
500005581,USD,1004,100280,R01,ZLF,0
500005582,USD,1001,100118,R01,ZLF,0
500005583,USD,1002,100201,R01,ZLF,0
500005584,USD,1002,100201,R01,ZLF,"4,210,910"
500005585,TWD,1005,100371,R01,ZLF,0
500005586,TWD,1005,100379,R01,ZLF,0
500005587,TWD,1005,100018,R01,ZLF,0
500005588,USD,1002,100200,R01,ZLF,0
500005589,TWD,1007,100046,R01,ZLF,0
500005590,USD,1003,100180,R01,ZLF,"46,704"
500005591,USD,1002,2002,,ZNLC,0
500005592,USD,1002,2002,,ZNLC,0
500005593,USD,1002,2002,,ZNLC,0
500005594,TWD,1002,1007,,ZNL,0
500005595,TWD,1002,1007,,ZNL,0
500005596,TWD,1002,1007,,ZNL,0
500005597,USD,2002,100213,R01,ZLF,0
500005598,USD,2002,100207,R01,ZLF,0
500005599,USD,2002,100213,R01,ZLF,0
500005600,USD,1005,100017,R01,ZLF,0
500005601,USD,1005,100367,R01,ZLF,"163,740"
500005602,USD,1005,100010,R01,ZLF,0
500005603,TWD,1002,1006,,ZNL,0
500005604,USD,1005,100022,R01,ZLF,"277,103"
500005605,TWD,1005,100012,R01,ZLF,"55,167"
500005606,TWD,1005,100379,R01,ZLF,0
500005607,TWD,1005,100014,R01,ZLF,0
500005608,TWD,1005,100382,R01,ZLF,"58,863"
500005609,TWD,1005,100371,R01,ZLF,0
500005610,USD,2002,1002,,ZNLC,0
500005611,USD,2002,1002,,ZNLC,0
500005612,USD,1003,100179,R01,ZLF,0
500005613,USD,1001,100118,R01,ZLF,0
500005614,USD,1004,100270,R01,ZLF,0
500005615,TWD,1004,100248,R01,ZLF,"210,147"
500005616,USD,1001,100118,R01,ZLF,0
500005617,USD,1001,100118,R01,ZLF,0
500005618,USD,1002,2002,,ZNLC,0
500005619,USD,1002,2002,,ZNLC,0
500005620,TWD,1005,100018,R01,ZLF,0
500005621,TWD,1005,100008,R01,ZLF,"70,508"
500005622,USD,1002,2002,,ZNLC,0
500005623,TWD,1002,1006,,ZNL,0
500005624,USD,1001,100118,R01,ZLF,0
500005625,USD,1001,100118,R01,ZLF,0
500005626,TWD,1005,100012,R01,ZLF,"18,268"
500005627,USD,1001,100118,R01,ZLF,0
500005628,USD,1001,100118,R01,ZLF,0
500005629,USD,1004,100273,R01,ZLF,"6,596,082"
500005630,USD,1001,100118,R01,ZLF,0
500005631,USD,1004,100273,R01,ZLF,"475,173"
500005632,USD,2002,1002,,ZNLC,0
500005633,TWD,1005,100011,R01,ZLF,0
500005634,USD,1003,100182,R01,ZLF,"488,287"
500005635,USD,1001,100118,R01,ZLF,0
500005636,TWD,1002,1006,,ZNL,0
500005637,TWD,1001,100137,R01,ZLF,0
500005638,TWD,1001,100133,R01,ZLF,"161,359"
500005639,USD,1001,100118,R01,ZLF,0
500005640,TWD,1001,100128,R01,ZLF,"15,790"
500005641,USD,1001,100118,R01,ZLF,0
500005642,USD,1005,100367,R01,ZLF,"25,569"
500005643,USD,1002,2002,,ZNLC,0
500005644,USD,1002,2002,,ZNLC,0
500005645,USD,1002,2002,,ZNLC,0
500005646,TWD,1006,1002,,ZNL,0
500005647,TWD,1006,1002,,ZNL,0
500005648,USD,2002,1002,,ZNLC,0
500005649,USD,1004,100273,R01,ZLF,"569,811"
500005650,USD,2002,100207,R01,ZLF,0
500005651,TWD,1001,100134,R01,ZLF,0
500005652,USD,1002,2902,R99,ZLF,0
500005653,USD,2002,100207,R01,ZLF,0
500005654,USD,1005,100010,R01,ZLF,"209,220"
500005655,TWD,1005,100379,R01,ZLF,0
500005656,TWD,1005,100371,R01,ZLF,0
500005657,USD,1003,100179,R01,ZLF,0
500005658,USD,1003,100366,R01,ZLF,0
500005659,USD,2002,1002,,ZNLC,0
500005660,TWD,1002,1006,,ZNL,0
500005661,TWD,1002,1006,,ZNL,0
500005662,USD,1003,100182,R01,ZLF,0
500005663,TWD,1007,1002,,ZNL,0
500005664,USD,2002,100207,R01,ZLF,0
500005665,TWD,1005,100012,R01,ZLF,"44,310"
500005666,USD,2002,100207,R01,ZLF,0
500005667,USD,2002,100207,R01,ZLF,0
500005668,USD,2002,100207,R01,ZLF,0
500005669,USD,1004,100281,R01,ZLF,0
500005670,USD,1004,100370,R01,ZLF,0
500005671,USD,1004,100255,R01,ZLF,0
500005672,TWD,1005,100018,R01,ZLF,0
500005673,TWD,1005,100379,R01,ZLF,0
500005674,USD,1002,100201,R01,ZLF,0
500005675,TWD,1007,100105,R01,ZLF,0
500005676,TWD,1007,100105,R01,ZLF,0
500005677,TWD,1007,100105,R01,ZLF,0
500005678,USD,1001,100118,R01,ZLF,0
500005679,TWD,1001,100137,R01,ZLF,0
500005680,TWD,1001,100124,R01,ZLF,"211,488"
500005681,TWD,1001,100135,R01,ZLF,"11,031"
500005682,USD,1002,2902,R99,ZLF,0
500005683,USD,2002,100207,R01,ZLF,0
500005684,USD,1005,100364,R01,ZLF,"458,315"
500005685,USD,1005,100364,R01,ZLF,"1,588,595"
500005686,TWD,1005,100004,R01,ZLF,"49,718"
500005687,TWD,1005,100004,R01,ZLF,0
500005688,USD,1005,100010,R01,ZLF,"308,367"
500005689,USD,1004,100246,R01,ZLF,0
500005690,USD,1004,100217,R01,ZLF,"40,080"
500005691,EUR,1004,100259,R01,ZLF,0
500005692,USD,1004,100218,R01,ZLF,"45,007"
500005693,USD,1002,2002,,ZNLC,0
500005694,USD,1005,100010,R01,ZLF,"41,108"
500005695,USD,1001,100118,R01,ZLF,0
500005696,USD,2002,100207,R01,ZLF,0
500005697,USD,1001,100118,R01,ZLF,0
500005698,USD,1001,100118,R01,ZLF,0
500005699,USD,1001,100118,R01,ZLF,0
500005700,USD,1001,100118,R01,ZLF,0
500005701,USD,1001,100118,R01,ZLF,0
500005702,USD,1001,100118,R01,ZLF,0
500005703,USD,1005,100016,R01,ZLF,0
500005704,USD,2002,100213,R01,ZLF,0
500005705,USD,1001,100118,R01,ZLF,0
500005706,USD,1001,100118,R01,ZLF,0
500005707,USD,2002,100213,R01,ZLF,0
500005708,USD,1001,100118,R01,ZLF,0
500005709,USD,1001,100118,R01,ZLF,0
500005710,USD,1001,100119,R01,ZLF,0
500005711,USD,1001,100118,R01,ZLF,0
500005712,USD,1001,100118,R01,ZLF,0
500005713,TWD,1005,100018,R01,ZLF,0
500005714,TWD,1005,100012,R01,ZLF,"87,245"
500005715,USD,1004,100280,R01,ZLF,0
500005716,USD,1004,100350,R01,ZLF,0
500005717,TWD,1002,1006,,ZNL,0
500005718,TWD,1002,1006,,ZNL,0
500005719,USD,2002,1002,,ZNLC,0
500005720,USD,2002,1002,,ZNLC,0
500005721,USD,2002,1002,,ZNLC,0
500005722,USD,1001,100118,R01,ZLF,0
500005723,TWD,1006,1002,,ZNL,0
500005724,TWD,1006,1002,,ZNL,0
500005725,USD,1003,100179,R01,ZLF,0
500005726,USD,1001,100411,,ZLF,0
500005727,USD,1002,2002,,ZNLC,0
500005728,TWD,1007,100052,R01,ZLF,0
500005729,USD,1001,100171,R01,ZLF,0
500005730,USD,1005,100022,R01,ZLF,"883,124"
500005731,USD,1001,100118,R01,ZLF,0
500005732,USD,1001,100405,R01,ZLF,"301,643"
500005733,USD,1001,100167,R01,ZLF,0
500005734,EUR,1001,100159,R01,ZLF,0
500005735,USD,1001,100118,R01,ZLF,0
500005736,USD,1001,100118,R01,ZLF,0
500005737,USD,2002,100213,R01,ZLF,0
500005738,USD,1001,100118,R01,ZLF,0
500005739,USD,1002,2902,R99,ZLF,0
500005740,USD,2002,100207,R01,ZLF,0
500005741,TWD,1005,100011,R01,ZLF,"36,068"
500005742,TWD,1005,100385,R01,ZLF,0
500005743,TWD,1005,100014,R01,ZLF,0
500005744,TWD,1006,1002,,ZNL,0
500005745,USD,1005,100010,R01,ZLF,"174,840"
500005746,USD,1005,100010,R01,ZLF,"30,789"
500005747,USD,2002,100207,R01,ZLF,0
500005748,TWD,1007,100042,R01,ZLF,0
500005749,USD,1004,100350,R01,ZLF,0
500005750,USD,1002,2902,R99,ZLF,0
500005751,USD,2002,100207,R01,ZLF,0
500005752,USD,1001,100029,R01,ZLF,"540,017"
500005753,USD,1001,100118,R01,ZLF,0
500005754,USD,1001,100166,R01,ZLF,0
500005755,USD,1001,100142,R01,ZLF,0
500005756,TWD,1001,100137,R01,ZLF,0
500005757,USD,1001,100033,R01,ZLF,0
500005758,USD,1001,100032,R01,ZLF,0
500005759,TWD,1005,100004,R01,ZLF,"27,983"
500005760,TWD,1005,100379,R01,ZLF,"19,929"
500005761,TWD,1005,100008,R01,ZLF,0
500005762,USD,1002,100200,R01,ZLF,0
500005763,USD,1002,100201,R01,ZLF,"1,878,557"
500005764,USD,1001,100032,R01,ZLF,0
500005765,TWD,1007,100046,R01,ZLF,0
500005766,TWD,1007,100046,R01,ZLF,0
500005767,TWD,1007,100097,R01,ZLF,0
500005768,TWD,1001,100133,R01,ZLF,"276,004"
500005769,USD,1001,100118,R01,ZLF,0
500005770,TWD,1006,1002,,ZNL,0
500005771,TWD,1006,1002,,ZNL,0
500005772,TWD,1006,1002,,ZNL,0
500005773,USD,1001,100118,R01,ZLF,0
500005774,TWD,1011,1002,,ZNL,0
500005775,USD,1003,100178,R01,ZLF,0
500005776,USD,1003,100179,R01,ZLF,0
500005777,USD,1003,100179,R01,ZLF,0
500005778,USD,1003,100366,R01,ZLF,0
500005779,TWD,1002,1006,,ZNL,0
500005780,USD,2002,100207,R01,ZLF,0
500005781,TWD,1005,100024,R01,ZLF,0
500005782,TWD,1005,100003,R01,ZLF,0
500005783,TWD,1005,100018,R01,ZLF,0
500005784,TWD,1005,100012,R01,ZLF,"74,723"
500005785,USD,1004,100390,R01,ZLF,"113,163"
500005786,USD,1007,100036,R01,ZLF,0
500005787,USD,1007,100036,R01,ZLF,0
500005788,USD,1004,100293,R01,ZLF,"154,481"
500005789,TWD,1007,100110,R01,ZLF,0
500005790,USD,2002,1002,,ZNLC,0
500005791,TWD,1003,100188,R01,ZLF,0
500005792,USD,1003,100180,R01,ZLF,"330,495"
500005793,USD,1003,100182,R01,ZLF,"723,030"
500005794,USD,2002,100207,R01,ZLF,0
500005795,USD,2002,100207,R01,ZLF,0
500005796,USD,2002,100207,R01,ZLF,0
500005797,USD,2002,100207,R01,ZLF,0
500005798,USD,1002,2902,R99,ZLF,0
500005799,USD,2002,100207,R01,ZLF,0
500005800,TWD,1001,100134,R01,ZLF,0
500005801,USD,1002,100200,R01,ZLF,0
500005802,TWD,1002,1006,,ZNL,0
500005803,USD,1001,100118,R01,ZLF,0
500005804,USD,2002,100207,R01,ZLF,0
500005805,TWD,1006,1002,,ZNL,0
500005806,TWD,1006,1002,,ZNL,0
500005807,TWD,1005,100382,R01,ZLF,"74,981"
500005808,TWD,1005,100015,R01,ZLF,"79,580"
500005809,USD,1002,2002,,ZNLC,0
500005810,USD,1005,100010,R01,ZLF,"304,972"
500005811,USD,2002,100207,R01,ZLF,0
500005812,USD,1001,100118,R01,ZLF,0
500005813,USD,2002,1002,,ZNLC,0
500005814,USD,2002,1002,,ZNLC,0
500005815,USD,2002,1002,,ZNLC,0
500005816,USD,2002,1002,,ZNLC,0
500005817,USD,1004,100305,R01,ZLF,0
500005818,USD,1004,100273,R01,ZLF,0
500005819,USD,1001,100118,R01,ZLF,0
500005820,USD,1001,100118,R01,ZLF,0
500005821,USD,1001,100118,R01,ZLF,0
500005822,USD,1001,100118,R01,ZLF,0
500005823,USD,1001,100118,R01,ZLF,0
500005824,USD,1001,100118,R01,ZLF,0
500005825,USD,1001,100118,R01,ZLF,0
500005826,USD,1001,100118,R01,ZLF,0
500005827,USD,1001,100118,R01,ZLF,0
500005828,USD,1001,100118,R01,ZLF,0
500005829,USD,1001,100118,R01,ZLF,0
500005830,USD,1001,100118,R01,ZLF,0
500005831,USD,1005,100021,R01,ZLF,"646,083"
500005832,TWD,1001,100137,R01,ZLF,0
500005833,USD,1003,100179,R01,ZLF,0
500005834,USD,1001,100118,R01,ZLF,0
500005835,USD,1001,100118,R01,ZLF,0
500005836,USD,1001,100118,R01,ZLF,0
500005837,TWD,1005,100012,R01,ZLF,"59,787"
500005838,TWD,1005,100018,R01,ZLF,0
500005839,USD,1001,100118,R01,ZLF,0
500005840,USD,2002,100213,R01,ZLF,0
500005841,TWD,1004,100362,R01,ZLF,"48,075"
500005842,USD,1002,2002,,ZNLC,0
500005843,USD,1002,2002,,ZNLC,0
500005844,TWD,1005,100004,R01,ZLF,0
500005845,USD,1002,2002,,ZNLC,0
500005846,USD,1004,100273,R01,ZLF,"205,869"
500005847,TWD,1007,100105,R01,ZLF,0
500005848,USD,2002,100207,R01,ZLF,0
500005849,USD,1002,100212,R01,ZLF,0
500005850,USD,2002,100207,R01,ZLF,0
500005851,TWD,1005,100008,R01,ZLF,0
500005852,TWD,1005,100011,R01,ZLF,0
500005853,TWD,1005,100371,R01,ZLF,0
500005854,TWD,1005,100012,R01,ZLF,0
500005855,TWD,1005,100024,R01,ZLF,0
500005856,TWD,1005,100385,R01,ZLF,0
500005857,USD,1005,100020,R01,ZLF,0
500005858,USD,1005,100364,R01,ZLF,"579,695"
500005859,USD,1004,100255,R01,ZLF,0
500005860,EUR,1004,100244,R01,ZLF,0
500005861,USD,1002,2002,,ZNLC,0
500005862,USD,1002,2002,,ZNLC,0
500005863,USD,1002,2002,,ZNLC,0
500005864,USD,2002,1002,,ZNLC,0
500005865,TWD,1007,1002,,ZNL,0
500005866,USD,1002,100200,R01,ZLF,0
